nombre,Ciudad,Departamento,Pais,descripcion
Go and enjoy sushi - Reserva Plaza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Sushi, Restaurante</span>"
Guys Burger Joint,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Pizza De Oriente,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante</span>"
Las delicias de cachetes,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida</span>"
Makalu Pizza y Cafe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante, Café</span>"
Palau,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Barbacoa</span>"
Lola Vinola - life&food,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar</span>"
Taco Rico,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Mexicana, Restaurante, Comida rápida</span>"
Duques pizzeria,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante</span>"
Paradisíaca Patacones Gourmet,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
PERU MIX San Nicolás,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa</span>"
